Area,Prof_Count
Algorithms,135
AI,80
Security,71
Networks,68
Computer Architecture,60
Systems,53
Computational Biology,47
Graphics,46
Database,44
Computing,44
Programming Languages,41
ML,37
Distributed Systems,35
Computer Vision,34
Human Computer Interaction,33
Software Engineering,29
NLP,22
Computer Education,22
Data Analytics,14
Multimedia,8
Information Retrieval,7
Game Design,2
Energy Efficient Systems,2
Knowledge Representation,2
Modeling,2
Robotics,1
Emerging Technology,1
Theory,1
